suffix,input_form,output_form
a,B,B
abil,V,V
acak,V,N
adak,N,N
agan,V,N
ak,B,N
al,B,B
ala,V,V
alak,V,N
alga,V,N
am,V,N
ama,V,V
amaç,V,N
an,B,B
anak,V,N
ar,B,B
arak,V,N
ası,V,N
at,B,B
ay,N,N
aç,B,N
ağan,V,N
ağı,N,N
aş,N,V
ca,B,N
cak,N,N
cağız,N,N
ce,B,N
cek,N,N
ceğiz,N,N
ci,N,N
cik,N,N
cil,N,N
cin,N,N
cu,N,N
cuk,N,N
cul,N,N
cü,N,N
cük,N,N
cül,N,N
cı,N,N
cık,N,N
cıl,N,N
cın,N,N
da,N,V
dam,N,N
dar,V,V
daş,N,N
de,N,V
dem,N,N
der,V,V
deş,N,N
di,V,N
dik,V,N
dir,V,V
dirik,N,N
diz,N,N
du,V,N
duk,V,N
dur,V,V
duruk,N,N
duz,N,N
dü,V,N
dük,V,N
dür,V,V
dürük,N,N
düz,N,N
dı,V,N
dık,V,N
dır,V,V
dırık,N,N
dız,N,N
e,B,B
ebil,V,V
ecek,V,N
edek,N,N
egen,V,N
ek,B,N
el,B,B
ele,V,V
elek,V,N
elge,V,N
em,V,N
eme,V,V
emeç,V,N
en,B,B
enek,V,N
er,B,B
erek,V,N
esi,V,N
et,B,B
ey,N,N
eç,B,N
eğen,V,N
eği,N,N
eş,N,V
ga,V,N
gan,V,N
gaç,V,N
ge,V,N
gen,V,N
geç,V,N
gi,V,N
gil,N,N
gin,V,N
giç,V,N
gu,V,N
gun,V,N
guç,V,N
gü,V,N
gün,V,N
güç,V,N
gı,V,N
gın,V,N
gıç,V,N
i,B,B
ici,V,N
ik,B,B
il,B,B
im,V,N
imsi,N,N
imtırak,N,N
in,B,B
ince,V,N
inci,N,N
inti,V,N
ip,V,N
ir,B,B
irge,N,V
it,B,B
iz,N,N
iç,V,N
iş,V,B
k,B,B
ka,V,N
kan,V,N
kaç,V,N
ke,V,N
ken,V,N
keç,V,N
ki,V,N
kin,V,N
kir,N,V
kiç,V,N
ku,V,N
kun,V,N
kur,N,V
kuç,V,N
kü,V,N
kün,V,N
kür,N,V
küç,V,N
kı,V,N
kın,V,N
kır,N,V
kıç,V,N
l,B,B
la,N,V
lak,N,N
lar,N,N
laz,N,N
laş,N,V
le,N,V
lek,N,N
ler,N,N
leyin,N,N
lez,N,N
leş,N,V
li,N,N
lik,N,N
lu,N,N
luk,N,N
lü,N,N
lük,N,N
lı,N,N
lık,N,N
m,V,N
ma,V,B
madan,V,N
mak,V,N
mala,V,V
man,B,N
mar,V,N
maz,V,N
maç,V,N
maş,V,V
me,V,B
meden,V,N
mek,V,N
mele,V,V
men,B,N
mer,V,N
mez,V,N
meç,V,N
meş,V,V
mik,V,N
miş,V,N
msa,N,V
mse,N,V
msi,N,N
msu,N,N
msü,N,N
msı,N,N
mtırak,N,N
muk,V,N
muş,V,N
mük,V,N
müş,V,N
mık,V,N
mış,V,N
n,V,V
nci,N,N
ncı,N,N
nti,V,N
ntu,V,N
ntü,V,N
ntı,V,N
p,V,V
r,B,B
ra,N,B
re,N,B
rga,N,V
rge,N,V
sa,N,V
sak,B,N
sal,N,N
se,N,V
sek,B,N
sel,N,N
si,B,N
sik,N,N
sil,N,N
siz,N,N
sizin,N,N
su,B,N
suk,N,N
sul,N,N
suz,N,N
sü,B,N
sük,N,N
sül,N,N
süz,N,N
sı,B,N
sık,N,N
sıl,N,N
sız,N,N
sızın,N,N
t,B,B
taş,N,N
teş,N,N
ti,B,N
tik,V,N
tir,V,V
tirik,N,N
tu,B,N
tuk,V,N
tur,V,V
turuk,N,N
tü,B,N
tük,V,N
tür,V,V
türük,N,N
tı,B,N
tık,V,N
tır,V,V
tırık,N,N
u,B,B
ucu,V,N
uk,B,B
ul,B,N
um,V,N
umsu,N,N
umturak,N,N
un,B,B
unca,V,N
uncu,N,N
untu,V,N
up,V,N
ur,B,B
urga,N,V
ut,B,B
uz,N,N
uş,V,B
ya,V,N
yabil,V,V
yacak,V,N
yama,V,V
yan,V,N
yarak,V,N
ye,V,N
yebil,V,V
yecek,V,N
yeme,V,V
yen,V,N
yerek,V,N
yici,V,N
yince,V,N
yip,V,N
yiş,V,N
yucu,V,N
yunca,V,N
yup,V,N
yuş,V,N
yücü,V,N
yünce,V,N
yüp,V,N
yüş,V,N
yıcı,V,N
yınca,V,N
yıp,V,N
yış,V,N
ç,V,N
ça,N,N
çe,N,N
çi,N,N
çik,N,N
çil,N,N
çu,N,N
çuk,N,N
çul,N,N
çü,N,N
çük,N,N
çül,N,N
çı,N,N
çık,N,N
çıl,N,N
ü,B,B
ücü,V,N
ük,B,B
ül,B,N
üm,V,N
ümsü,N,N
ümturak,N,N
ün,B,B
ünce,V,N
üncü,N,N
üntü,V,N
üp,V,N
ür,B,B
ürge,N,V
üt,B,B
üz,N,N
üş,V,B
ı,B,B
ıcı,V,N
ık,B,B
ıl,B,B
ım,V,N
ımsı,N,N
ımtırak,N,N
ın,B,B
ınca,V,N
ıncı,N,N
ıntı,V,N
ıp,V,N
ır,B,B
ırga,N,V
ıt,B,B
ız,N,N
ıç,V,N
ış,V,B
ş,V,V
şar,N,N
şer,N,N
şin,N,N
şın,N,N
