suffix,is_noun_suffix,is_verb_suffix,compare_noun_priority,transit_noun_priority,compare_verb_priority,transit_verb_priority
ler,True,True,1,6,3,3
lar,True,True,1,6,3,3
m,True,True,2,6,3,3
ım,True,True,2,6,3,3
im,True,True,2,6,3,3
um,True,True,2,6,3,3
üm,True,True,2,6,3,3
n,True,True,2,6,3,3
ın,True,True,2,3,3,3
in,True,True,2,3,3,3
un,True,True,2,3,3,3
ün,True,True,2,3,3,3
ı,True,False,2,3,0,0
i,True,False,2,3,0,0
u,True,False,2,3,0,0
ü,True,False,2,3,0,0
sı,True,False,2,2,0,0
si,True,False,2,2,0,0
su,True,False,2,2,0,0
sü,True,False,2,2,0,0
mız,True,False,2,2,0,0
miz,True,False,2,2,0,0
muz,True,False,2,2,0,0
müz,True,False,2,2,0,0
ımız,True,False,2,2,0,0
imiz,True,False,2,2,0,0
umuz,True,False,2,2,0,0
ümüz,True,False,2,2,0,0
nız,True,True,2,6,3,3
niz,True,True,2,6,3,3
nuz,True,True,2,6,3,3
nüz,True,True,2,6,3,3
ınız,True,True,2,2,3,3
iniz,True,True,2,2,3,3
unuz,True,True,2,2,3,3
ünüz,True,True,2,2,3,3
leri,True,False,2,2,0,0
ları,True,False,2,2,0,0
ki,True,False,4,0,0,0
yı,True,False,3,3,0,0
yi,True,False,3,3,0,0
yu,True,False,3,3,0,0
yü,True,False,3,3,0,0
nı,True,False,3,3,0,0
ni,True,False,3,3,0,0
nu,True,False,3,3,0,0
nü,True,False,3,3,0,0
e,True,True,3,3,1,1
a,True,True,3,3,1,1
ye,True,True,3,3,1,1
ya,True,True,3,3,1,1
ne,True,False,3,3,0,0
na,True,False,3,3,0,0
de,True,False,3,3,0,0
da,True,False,3,3,0,0
te,True,False,3,3,0,0
ta,True,False,3,3,0,0
nde,True,False,3,3,0,0
nda,True,False,3,3,0,0
den,True,False,3,3,0,0
dan,True,False,3,3,0,0
ten,True,False,3,3,0,0
tan,True,False,3,3,0,0
nden,True,False,3,3,0,0
ndan,True,False,3,3,0,0
nın,True,False,3,3,0,0
nin,True,False,3,3,0,0
nun,True,False,3,3,0,0
nün,True,False,3,3,0,0
le,True,False,3,3,0,0
la,True,False,3,3,0,0
yle,True,False,3,3,0,0
yla,True,False,3,3,0,0
yım,True,False,6,6,0,0
yim,True,False,6,6,0,0
eyim,False,True,0,0,3,3
ayım,False,True,0,0,3,3
yeyim,False,True,0,0,3,3
yayım,False,True,0,0,3,3
sın,True,True,6,6,3,3
sin,True,True,6,6,3,3
sun,True,True,6,6,3,3
sün,True,True,6,6,3,3
ız,True,True,6,6,3,3
iz,True,True,6,6,3,3
uz,True,True,6,6,3,3
üz,True,True,6,6,3,3
yız,True,True,6,6,3,3
yiz,True,True,6,6,3,3
yuz,True,True,6,6,3,3
yüz,True,True,6,6,3,3
k,True,True,6,6,3,3
elim,False,True,0,0,3,3
alım,False,True,0,0,3,3
yelim,False,True,0,0,3,3
yalım,False,True,0,0,3,3
sınız,True,True,6,6,3,3
siniz,True,True,6,6,3,3
sunuz,True,True,6,6,3,3
sünüz,True,True,6,6,3,3
yın,False,True,0,0,3,3
yin,False,True,0,0,3,3
yun,False,True,0,0,3,3
yün,False,True,0,0,3,3
sınlar,False,True,0,0,3,3
sinler,False,True,0,0,3,3
sunlar,False,True,0,0,3,3
sünler,False,True,0,0,3,3
dı,True,True,5,5,1,2
di,True,True,5,5,1,2
du,True,True,5,5,1,2
dü,True,True,5,5,1,2
tı,True,True,5,5,1,2
ti,True,True,5,5,1,2
tu,True,True,5,5,1,2
tü,True,True,5,5,1,2
ydı,True,True,5,5,1,2
ydi,True,True,5,5,1,2
ydu,True,True,5,5,1,2
ydü,True,True,5,5,1,2
mış,True,True,5,5,1,2
miş,True,True,5,5,1,2
muş,True,True,5,5,1,2
müş,True,True,5,5,1,2
ymış,True,True,5,5,1,2
ymiş,True,True,5,5,1,2
ymuş,True,True,5,5,1,2
ymüş,True,True,5,5,1,2
yor,False,True,0,0,1,2
ıyor,False,True,0,0,1,2
iyor,False,True,0,0,1,2
uyor,False,True,0,0,1,2
üyor,False,True,0,0,1,2
mekte,False,True,0,0,1,2
makta,False,True,0,0,1,2
mede,False,True,0,0,1,2
mada,False,True,0,0,1,2
ecek,False,True,0,0,1,2
acak,False,True,0,0,1,2
yecek,False,True,0,0,1,2
yacak,False,True,0,0,1,2
r,False,True,0,0,1,2
ır,False,True,0,0,1,2
ir,False,True,0,0,1,2
ur,False,True,0,0,1,2
ür,False,True,0,0,1,2
er,False,True,0,0,1,2
ar,False,True,0,0,1,2
se,True,True,5,5,1,2
sa,True,True,5,5,1,2
yse,True,True,5,5,1,2
ysa,True,True,5,5,1,2
meli,False,True,0,0,1,2
malı,False,True,0,0,1,2
dır,True,True,7,7,4,4
dir,True,True,7,7,4,4
dur,True,True,7,7,4,4
dür,True,True,7,7,4,4
tır,True,True,7,7,4,4
tir,True,True,7,7,4,4
tur,True,True,7,7,4,4
tür,True,True,7,7,4,4
