suffix,is_noun_suffix,is_verb_suffix
ler,True,True
lar,True,True
m,True,True
ım,True,True
im,True,True
um,True,True
üm,True,True
n,True,True
ın,True,True
in,True,True
un,True,True
ün,True,True
ı,True,False
i,True,False
u,True,False
ü,True,False
sı,True,False
si,True,False
su,True,False
sü,True,False
mız,True,False
miz,True,False
muz,True,False
müz,True,False
ımız,True,False
imiz,True,False
umuz,True,False
ümüz,True,False
nız,True,True
niz,True,True
nuz,True,True
nüz,True,True
ınız,True,True
iniz,True,True
unuz,True,True
ünüz,True,True
leri,True,False
ları,True,False
ki,True,False
yı,True,False
yi,True,False
yu,True,False
yü,True,False
nı,True,False
ni,True,False
nu,True,False
nü,True,False
e,True,True
a,True,True
ye,True,True
ya,True,True
ne,True,False
na,True,False
de,True,False
da,True,False
te,True,False
ta,True,False
nde,True,False
nda,True,False
den,True,False
dan,True,False
ten,True,False
tan,True,False
nden,True,False
ndan,True,False
nın,True,False
nin,True,False
nun,True,False
nün,True,False
le,True,False
la,True,False
yle,True,False
yla,True,False
yım,False,True
yim,False,True
eyim,False,True
ayım,False,True
yeyim,False,True
yayım,False,True
sın,False,True
sin,False,True
sun,False,True
sün,False,True
z,False,True
ız,False,True
iz,False,True
uz,False,True
üz,False,True
yız,False,True
yiz,False,True
yuz,False,True
yüz,False,True
k,False,True
elim,False,True
alım,False,True
yelim,False,True
yalım,False,True
sınız,False,True
siniz,False,True
sunuz,False,True
sünüz,False,True
yın,False,True
yin,False,True
yun,False,True
yün,False,True
sınlar,False,True
sinler,False,True
sunlar,False,True
sünler,False,True
dı,False,True
di,False,True
du,False,True
dü,False,True
tı,False,True
ti,False,True
tu,False,True
tü,False,True
ydı,False,True
ydi,False,True
ydu,False,True
ydü,False,True
mış,False,True
miş,False,True
muş,False,True
müş,False,True
ymış,False,True
ymiş,False,True
ymuş,False,True
ymüş,False,True
yor,False,True
ıyor,False,True
iyor,False,True
uyor,False,True
üyor,False,True
mekte,False,True
makta,False,True
mede,False,True
mada,False,True
ecek,False,True
acak,False,True
yecek,False,True
yacak,False,True
r,False,True
ır,False,True
ir,False,True
ur,False,True
ür,False,True
er,False,True
ar,False,True
se,False,True
sa,False,True
yse,False,True
ysa,False,True
meli,False,True
malı,False,True
dır,False,True
dir,False,True
dur,False,True
dür,False,True
tır,False,True
tir,False,True
tur,False,True
tür,False,True
me,False,True
ma,False,True
